lng,lat,id,@id,addr:city,addr:street,denotation,leaf_cycle,leaf_type,natural,genus,species,species:es,species:mp,species:es_1,wikidata,wikipedia
-7909423.10078146,-4124139.3805765,node/6388414097,node/6388414097,Chimbarongo,Calle El Mimbral,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909425.42735881,-4124142.83360749,node/6388414098,node/6388414098,Chimbarongo,Calle El Mimbral,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909434.38857783,-4124156.95719241,node/6388414099,node/6388414099,Chimbarongo,Calle El Mimbral,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909436.37006476,-4124160.15294372,node/6388414100,node/6388414100,Chimbarongo,Calle El Mimbral,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909456.58568429,-4124176.24004467,node/6388425785,node/6388425785,Chimbarongo,Calle El Mimbral,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909458.34453224,-4124179.35455341,node/6388425786,node/6388425786,Chimbarongo,Calle El Mimbral,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909449.27199374,-4124181.41283793,node/6388425787,node/6388425787,Chimbarongo,Calle El Mimbral,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909451.0308417,-4124184.33776921,node/6388425788,node/6388425788,Chimbarongo,Calle El Mimbral,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909459.02358114,-4124197.79787947,node/6388425789,node/6388425789,Chimbarongo,Calle El Mimbral,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909460.78242909,-4124200.72281503,node/6388425790,node/6388425790,Chimbarongo,Calle El Mimbral,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909446.29976334,-4124280.41406145,node/6388425791,node/6388425791,Chimbarongo,La Represa,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909461.65072112,-4124271.46315572,node/6388425792,node/6388425792,Chimbarongo,Calle El Mimbral,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909464.38918059,-4124269.7704739,node/6388425793,node/6388425793,Chimbarongo,Calle El Mimbral,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909475.64358111,-4124222.64631465,node/6388428359,node/6388428359,Chimbarongo,Calle El Mimbral,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909476.81243576,-4124225.9639573,node/6388428360,node/6388428360,Chimbarongo,Calle El Mimbral,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909485.11686978,-4124238.55746694,node/6388428361,node/6388428361,Chimbarongo,Calle El Mimbral,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909487.8441973,-4124242.85009658,node/6388428362,node/6388428362,Chimbarongo,Calle El Mimbral,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909427.87638761,-4124242.863638,node/6388464873,node/6388464873,Chimbarongo,Los Viñeteros,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909430.63711098,-4124233.69609971,node/6388464874,node/6388464874,Chimbarongo,Los Viñeteros,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909433.50915385,-4124231.59718137,node/6388464875,node/6388464875,Chimbarongo,Los Viñeteros,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909441.57981693,-4124226.95247959,node/6388464876,node/6388464876,Chimbarongo,Los Viñeteros,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909443.23847734,-4124231.54301574,node/6388464877,node/6388464877,Chimbarongo,Los Viñeteros,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909440.95642778,-4124233.20860897,node/6388464878,node/6388464878,Chimbarongo,Los Viñeteros,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909479.51749939,-4124150.45736205,node/6388464880,node/6388464880,Chimbarongo,Las Tejedoras,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909475.99980348,-4124152.89479799,node/6388464881,node/6388464881,Chimbarongo,Las Tejedoras,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909473.07210088,-4124146.35434607,node/6388464882,node/6388464882,Chimbarongo,Las Tejedoras,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909476.87922746,-4124144.49918753,node/6388464883,node/6388464883,Chimbarongo,Las Tejedoras,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909400.66990406,-4124201.87383154,node/6388464884,node/6388464884,Chimbarongo,Las Tejedoras,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909398.52143789,-4124203.14672053,node/6388465285,node/6388465285,Chimbarongo,Las Tejedoras,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909381.74559063,-4124205.19146804,node/6388465286,node/6388465286,Chimbarongo,Las Tejedoras,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909398.4323823,-4124194.95419285,node/6388465287,node/6388465287,Chimbarongo,Las Tejedoras,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909396.47315926,-4124196.41666016,node/6388465288,node/6388465288,Chimbarongo,Las Tejedoras,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909413.44938161,-4124185.77315243,node/6388465289,node/6388465289,Chimbarongo,Las Tejedoras,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909435.82459925,-4124167.15380888,node/6388465291,node/6388465291,Chimbarongo,Calle El Mimbral,garden,deciduous,broadleaved,tree,Jacaranda,Jacaranda mimosifolia,Jacarandá,,,,
-7909420.26213444,-4124140.99199083,node/6388467449,node/6388467449,Chimbarongo,Calle El Mimbral,garden,,broadleaved,tree,,,,,,,
-7909392.99999115,-4124146.85537435,node/6388467450,node/6388467450,Chimbarongo,Los Artesanos,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909389.52682303,-4124149.33343343,node/6388467451,node/6388467451,Chimbarongo,Los Artesanos,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909388.03514186,-4124138.41914453,node/6388467452,node/6388467452,Chimbarongo,Los Artesanos,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909385.12970315,-4124140.54512801,node/6388467453,node/6388467453,Chimbarongo,Los Artesanos,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
-7909377.05904006,-4124157.62071697,node/6388467454,node/6388467454,Chimbarongo,Los Artesanos,street,deciduous,broadleaved,tree,Liquidambar,Liquidambar styraciflua,Liquidámbar,,,,
