lng,lat,id,@id,addr:city,addr:street,denotation,leaf_cycle,leaf_type,natural,genus,species,species:es,species:mp,species:es_1,wikidata,wikipedia
-71.031298,-34.7056918,node/6144231072,node/6144231072,Chimbarongo,El Bosque,street,evergreen,broadleaved,tree,Acacia,Acacia melanoxylon,aromo australiano,,,,
-71.0313451,-34.7056678,node/6144231074,node/6144231074,Chimbarongo,El Bosque,street,evergreen,broadleaved,tree,Acacia,Acacia melanoxylon,aromo australiano,,,,
-71.0313178,-34.7056841,node/6144231075,node/6144231075,Chimbarongo,El Bosque,street,evergreen,broadleaved,tree,,,,,,,
-71.0312697,-34.7057019,node/6144231076,node/6144231076,Chimbarongo,El Bosque,street,evergreen,broadleaved,tree,,,,,,,
-71.0311982,-34.7057375,node/6144231077,node/6144231077,Chimbarongo,El Bosque,street,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0311077,-34.7057731,node/6144231078,node/6144231078,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0310372,-34.7058076,node/6144231079,node/6144231079,Chimbarongo,El Bosque,avenue,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0305001,-34.7059751,node/6144232785,node/6144232785,Chimbarongo,El Bosque,street,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0306473,-34.7058904,node/6144232786,node/6144232786,Chimbarongo,El Bosque,street,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0307304,-34.7058579,node/6144232787,node/6144232787,Chimbarongo,El Bosque,street,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0308239,-34.7058138,node/6144232788,node/6144232788,Chimbarongo,El Bosque,street,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.03089,-34.7057843,node/6144232789,node/6144232789,Chimbarongo,El Bosque,street,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0309679,-34.7057444,node/6144238897,node/6144238897,Chimbarongo,El Bosque,street,evergreen,broadleaved,tree,Robinia,Robinia pseudoacacia,Falsa acacia de Japón,,,,
-71.0328833,-34.705803,node/6144244985,node/6144244985,Chimbarongo,,garden,evergreen,broadleaved,tree,,,,,,,
-71.0325273,-34.7053436,node/6144244986,node/6144244986,Chimbarongo,,garden,evergreen,broadleaved,tree,,,,,,,
-71.0324797,-34.7055729,node/6144244987,node/6144244987,Chimbarongo,,garden,evergreen,broadleaved,tree,,,,,,,
-71.032614,-34.7054704,node/6144244988,node/6144244988,Chimbarongo,,garden,evergreen,broadleaved,tree,,,,,,,
-71.0325913,-34.7054348,node/6144244989,node/6144244989,Chimbarongo,,garden,evergreen,broadleaved,tree,,,,,,,
-71.0321217,-34.7051791,node/6144244992,node/6144244992,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
-71.0320501,-34.7052241,node/6144244993,node/6144244993,Chimbarongo,El Bosque,street,evergreen,broadleaved,tree,Quillaja,Quillaja saponaria,Quillay,Küllay,,,
-71.0320127,-34.7051755,node/6144244994,node/6144244994,Chimbarongo,El Bosque,garden,,broadleaved,tree,,,,,,,
-71.0318471,-34.7053218,node/6144244999,node/6144244999,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Quillaja,Quillaja saponaria,Quillay,,,,
-71.0318871,-34.7053034,node/6144245000,node/6144245000,Chimbarongo,El Bosque,street,,broadleaved,tree,,,,,,,
-71.0317516,-34.7053698,node/6144245001,node/6144245001,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Quillaja,Quillaja saponaria,Quillay,Küllay,,,
-71.0319269,-34.7052829,node/6144245002,node/6144245002,Chimbarongo,El Bosque,street,,broadleaved,tree,,,,,,,
-71.0319597,-34.705263,node/6144245003,node/6144245003,Chimbarongo,El Bosque,street,,broadleaved,tree,,,,,,,
-71.0319431,-34.705271,node/6144245004,node/6144245004,Chimbarongo,El Bosque,street,,broadleaved,tree,,,,,,,
-71.0297757,-34.7063094,node/6145450069,node/6145450069,Chimbarongo,El Bosque,street,deciduous,broadleaved,tree,Robinia,Robinia pseudoacacia,Acacia Bastarda,,,,
