lat	lng	mag	time
31.61013778	-103.9841374	2.9	1668647231932
51.8688333333333	-177.9865	1.08	1668647055640
31.61714426	-103.9848418	3.5	1668647049070
41961	-119539	1.8	1668646837693
51.8666666666667	-177.9105	1.76	1668646557680
33203	-116.0531667	1.74	1668646433310
41.9707	-119.5395	1.1	1668646389922
64.9422	-147.5105	1.6	1668646192993
17.9818333333333	-66842	2.25	1668646086250
31.61183041	-103.9934249	2.4	1668645863176
35.26	-95.28983333	1.22	1668645526380
31.62614146	-104.0084219	2	1668645322009
33326	-116.2396667	0.42	1668645313670
40.7873	142.3764	5.1	1668644900460
19.2196674346924	-155.391830444336	1.73000002	1668644552680
63.5866	-148.0662	1.4	1668644465254
31.61147683	-103.960608	2.5	1668644463814
31.63460586	-103.9857284	2.4	1668644365319
61.0856	-152.1262	2	1668644200639
19.1873340606689	-155.482162475586	2.2	1668643585970
31.62682013	-103.9773532	2.2	1668643472622
31.62944745	-103.982073	2.3	1668643006137
51.8575	-177919	1.07	1668642791930
51.8563333333333	-177.977166666667	0.89	1668642377380
31.62176989	-103.9757166	1.9	1668642270323
36.36716667	-98.15633333	2.3	1668642153350
63.0783	-151.4951	1.6	1668642101280
17.9346666666667	-66.9208333333333	2.1	1668641916180
31.63181241	-103.9964771	2.2	1668640720415
31.61717663	-103.9748891	2.8	1668640503852
61.7333	-150.0454	1.4	1668640377318
33.4746667	-116.4966667	0.54	1668640371300
31.61124453	-103.9614139	2	1668639941625
37.2776	-115.6845	1.3	1668639806440
19.3521	-65.1671	3.62	1668639782010
31.63688144	-103.992465	2.3	1668639733118
61.4178	-150.0938	1.4	1668639724195
36749	-116.2847	-0.2	1668639079008
31.6073499	-103.9932696	2.6	1668639036340
37.5093333	-119.3925	1.22	1668638906600
41.9445	-119.5351	1.6	1668638421377
31.62947111	-104.0091105	4	1668638353563
63.5986	-147.9875	1.1	1668638177760
38.8166656	-122.7770004	0.84	1668637767860
-11.6959	166.6027	5.8	1668637613059
31.61019489	-103.9663854	2.1	1668637363831
31.60789526	-103.9669134	1.9	1668637291609
58.2378333333333	-155.185166666667	-0.41	1668637099690
38.8248329	-122.8018341	0.84	1668636991520
31.62039977	-103.9730204	2.1	1668636977325
42213	-111.0783333	1.75	1668636849670
