"package","declared","declared_recursive","without_base","without_base_recursive","without_installed","without_installed_recursive","reverse","reverse_recursive","badge_url"
"MARX",5,27,5,20,5,17,0,0,"https://img.shields.io/badge/dependencies-5/17-orange?style=flat"
"maSAE",2,2,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"mase",10,51,9,43,7,38,0,0,"https://img.shields.io/badge/dependencies-7/38-orange?style=flat"
"MaskJointDensity",5,29,4,21,3,14,0,0,"https://img.shields.io/badge/dependencies-3/14-green?style=flat"
"mason",7,40,5,33,5,31,0,0,"https://img.shields.io/badge/dependencies-5/31-orange?style=flat"
"MASS",5,5,0,0,0,0,1491,5174,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"Massign",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"MASSTIMATE",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"MAT",2,5,2,2,2,2,0,0,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
"MATA",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"matahari",7,28,7,24,7,24,1,1,"https://img.shields.io/badge/dependencies-7/24-orange?style=flat"
"match2C",5,12,3,7,3,6,0,0,"https://img.shields.io/badge/dependencies-3/6-green?style=flat"
"matchbook",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"Matching",4,6,1,1,0,0,8,15,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"matchingMarkets",10,17,7,10,6,9,1,4,"https://img.shields.io/badge/dependencies-6/9-orange?style=flat"
"matchingR",2,5,2,2,2,2,1,1,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
"MatchIt",2,7,2,2,1,1,5,7,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"MatchLinReg",4,83,2,75,2,65,0,0,"https://img.shields.io/badge/dependencies-2/65-green?style=flat"
"matchmaker",3,20,3,16,3,16,0,0,"https://img.shields.io/badge/dependencies-3/16-green?style=flat"
"matchMulti",7,109,7,99,6,88,0,0,"https://img.shields.io/badge/dependencies-6/88-orange?style=flat"
"MatchThem",9,76,6,68,6,62,0,0,"https://img.shields.io/badge/dependencies-6/62-orange?style=flat"
"matconv",1,1,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"mateable",6,17,3,10,3,8,0,0,"https://img.shields.io/badge/dependencies-3/8-green?style=flat"
"mathgraph",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"mathjaxr",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"mathpix",6,58,6,51,6,51,0,0,"https://img.shields.io/badge/dependencies-6/51-orange?style=flat"
"matie",6,78,6,69,6,61,0,0,"https://img.shields.io/badge/dependencies-6/61-orange?style=flat"
"matlab",1,1,0,0,0,0,18,25,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"matlabr",1,8,1,4,1,4,2,2,"https://img.shields.io/badge/dependencies-1/4-green?style=flat"
"matlib",5,96,4,87,3,78,2,2,"https://img.shields.io/badge/dependencies-3/78-green?style=flat"
"matman",15,133,11,124,11,118,0,0,"https://img.shields.io/badge/dependencies-11/118-red?style=flat"
"MatManlyMix",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"matpow",0,0,0,0,0,0,1,1,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"matR",5,5,2,2,2,2,0,0,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
"matricks",4,58,4,50,4,45,0,0,"https://img.shields.io/badge/dependencies-4/45-green?style=flat"
"Matrix",6,7,1,1,0,0,901,5698,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"Matrix.utils",4,9,2,3,1,1,1,1,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"matrixcalc",0,0,0,0,0,0,75,123,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"MatrixCorrelation",6,25,6,19,6,17,1,1,"https://img.shields.io/badge/dependencies-6/17-orange?style=flat"
"MatrixEQTL",4,4,0,0,0,0,1,1,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"matrixLaplacian",2,4,1,1,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"MatrixLDA",4,7,4,4,4,4,0,0,"https://img.shields.io/badge/dependencies-4/4-green?style=flat"
"MatrixModels",3,8,1,2,0,0,6,716,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"matrixNormal",2,4,1,1,1,1,1,1,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"matrixpls",6,46,5,37,4,33,0,0,"https://img.shields.io/badge/dependencies-4/33-green?style=flat"
"matrixProfile",6,14,4,8,4,6,0,0,"https://img.shields.io/badge/dependencies-4/6-green?style=flat"
"matrixsampling",2,3,1,1,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"matrixStats",0,0,0,0,0,0,132,323,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"matrixStrucTest",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"matrixTests",1,1,1,1,1,1,1,1,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"matsbyname",8,87,8,79,8,69,1,1,"https://img.shields.io/badge/dependencies-8/69-orange?style=flat"
"matsindf",8,91,8,83,8,73,0,0,"https://img.shields.io/badge/dependencies-8/73-orange?style=flat"
"MatSkew",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"MATTOOLS",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"MatTransMix",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"mau",7,62,7,54,7,49,0,0,"https://img.shields.io/badge/dependencies-7/49-orange?style=flat"
"mauricer",2,60,2,52,2,47,1,1,"https://img.shields.io/badge/dependencies-2/47-green?style=flat"
"MAVE",5,10,3,5,3,3,0,0,"https://img.shields.io/badge/dependencies-3/3-green?style=flat"
"MAVIS",13,79,13,71,13,66,0,0,"https://img.shields.io/badge/dependencies-13/66-red?style=flat"
"MAVTgsa",5,21,5,14,4,9,0,0,"https://img.shields.io/badge/dependencies-4/9-green?style=flat"
"MaXact",1,1,1,1,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"maxadjAUC",4,87,4,78,3,68,0,0,"https://img.shields.io/badge/dependencies-3/68-green?style=flat"
"MaxentVariableSelection",2,56,2,48,2,43,0,0,"https://img.shields.io/badge/dependencies-2/43-green?style=flat"
"maximin",1,11,1,6,1,4,0,0,"https://img.shields.io/badge/dependencies-1/4-green?style=flat"
"maxLik",3,11,2,5,2,4,39,68,"https://img.shields.io/badge/dependencies-2/4-green?style=flat"
"maxlike",1,10,1,4,1,3,0,0,"https://img.shields.io/badge/dependencies-1/3-green?style=flat"
"maxmatching",1,11,1,5,1,3,0,0,"https://img.shields.io/badge/dependencies-1/3-green?style=flat"
"MaxMC",8,31,5,24,5,23,0,0,"https://img.shields.io/badge/dependencies-5/23-orange?style=flat"
"maxnet",1,13,1,7,1,4,3,6,"https://img.shields.io/badge/dependencies-1/4-green?style=flat"
"maxnodf",3,4,1,1,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"MaxPro",1,1,1,1,1,1,1,1,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"MaxSkew",0,0,0,0,0,0,1,1,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"maxstat",4,6,2,2,2,2,3,11,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
"maxTPR",2,7,2,4,2,4,0,0,"https://img.shields.io/badge/dependencies-2/4-green?style=flat"
